label,n_groups,spearman_rho,p_spearman,pearson_r,p_pearson
MMD_sd_vae_L11_g1.0e-04,48,0.04884932696482848,0.7416161779382056,0.015716689855651694,0.915562811527198
MMD_sd_vae_L11_g2.8e-05,48,-0.39589665653495437,0.00534691961710451,-0.5165447572272968,0.00017093431545753534
MMD_dinov2_vitb14_L11_g1.0e-06,48,-0.1792227529309596,0.22289767368950003,-0.2805376791795848,0.05343735549275025
MMD_dc_ae_L9_g5.0e-06,48,-0.38894919669995653,0.0062915950691105355,-0.3335860661487092,0.020501717597266246
CMMD_CLIP-ViT-L14,48,0.30829353017802863,0.033019410556360186,0.16609751684747978,0.2592005891798898
