label,group_idx,mos_mean,mos_min,mos_max,mmd_score
MMD_sd_vae_L11_g1.0e-04,1,12.623803891545453,10.383351573636363,14.772021149545454,8.284063369501382e-06
MMD_sd_vae_L11_g1.0e-04,2,16.483207213363638,15.774696462272727,16.977602550909094,5.0612143240869045e-06
MMD_sd_vae_L11_g1.0e-04,3,17.855225954545453,17.128398308636363,18.40435578590909,8.809445716906339e-06
MMD_sd_vae_L11_g1.0e-04,4,20.865518097181816,18.964998386363636,22.207954510454545,9.625157872505952e-06
MMD_sd_vae_L11_g1.0e-04,5,23.016297832363637,22.336504287727273,23.859046570909094,3.953370651288424e-06
MMD_sd_vae_L11_g1.0e-04,6,24.676943607545457,24.108436355454547,25.272293834545454,-8.35805622045882e-07
MMD_sd_vae_L11_g1.0e-04,7,26.206316040454546,25.739496508636364,26.647243233181822,7.529021331720287e-06
MMD_sd_vae_L11_g1.0e-04,8,27.637551460363635,26.80277036,28.008295531363636,4.327646820456721e-06
MMD_sd_vae_L11_g1.0e-04,9,28.92851263009091,28.427649107272728,29.867093540909092,1.6167312423931435e-05
MMD_sd_vae_L11_g1.0e-04,10,31.575648575545454,30.946254809545454,32.10326235227273,6.504542398033664e-05
MMD_sd_vae_L11_g1.0e-04,11,33.540090341181816,32.57260997909091,34.254768114545456,5.6879835028667e-06
MMD_sd_vae_L11_g1.0e-04,12,36.213817163363636,35.01583384090909,37.183868766818186,7.355368143180385e-05
MMD_sd_vae_L11_g1.0e-04,13,38.664114203454545,37.586910895,39.50363207727273,1.5301189705496654e-05
MMD_sd_vae_L11_g1.0e-04,14,40.60400495509091,39.72578294681818,41.450596035,1.8331849787500687e-05
MMD_sd_vae_L11_g1.0e-04,15,42.18188632036364,41.606778884545456,42.93479045136364,7.581971203762805e-06
MMD_sd_vae_L11_g1.0e-04,16,43.784922278909086,42.999259720454546,44.68483293727273,1.606000296305865e-06
MMD_sd_vae_L11_g1.0e-04,17,45.219106401272725,45.014271393181815,45.44974382363636,4.9405143727199174e-06
MMD_sd_vae_L11_g1.0e-04,18,46.257626772363636,45.87703164136364,46.55172569545454,5.1262968554510735e-06
MMD_sd_vae_L11_g1.0e-04,19,46.95799090581818,46.63784059272727,47.18393024863636,4.298752173781395e-05
MMD_sd_vae_L11_g1.0e-04,20,47.714600308636356,47.45620903181818,47.997159330454544,1.155379504780285e-05
MMD_sd_vae_L11_g1.0e-04,21,49.30375251727272,48.745656067727275,50.02686477227273,9.088367733056657e-06
MMD_sd_vae_L11_g1.0e-04,22,50.32710597245454,50.24467801363637,50.44004938636363,7.115164862625534e-06
MMD_sd_vae_L11_g1.0e-04,23,50.872099054636365,50.53053583909091,51.255980857727266,8.53896744956728e-06
MMD_sd_vae_L11_g1.0e-04,24,51.58121081436364,51.47010300409091,51.78909724363636,8.73461158334976e-06
