backbone,layer,layer_name,gamma,spearman_rho,strict_mono_rate,kendall_tau_mean,n_groups
sd_vae,11,encoder.down_blocks.3.resnets.1,0.0001,0.9938949938949939,0.7692307692307693,0.9544159544159546,27
dc_ae,9,encoder.down_blocks.2.2,5e-06,-0.9169719169719169,0.2692307692307692,-0.794871794871795,27
dinov2_vitb14,11,blocks.10,2.8e-05,0.9987789987789988,0.9230769230769231,0.9886039886039887,27
cmmd,0,CLIP ViT-L/14@336,0.005,0.01587301587301587,0.34615384615384615,-0.0028490028490028496,27
