label,group_idx,score_mean,score_min,score_max,mmd_score
GramMMD_sd_vae_L11_g1.0e-04,1,0.172867089509964,0.1629582643508911,0.17566825449466705,6.288209988269955e-07
GramMMD_sd_vae_L11_g1.0e-04,2,0.17650319635868073,0.1757044792175293,0.17719337344169617,9.172872523777187e-06
GramMMD_sd_vae_L11_g1.0e-04,3,0.1775147020816803,0.17720404267311096,0.17793020606040955,2.644019332365133e-06
GramMMD_sd_vae_L11_g1.0e-04,4,0.17830663919448853,0.17807382345199585,0.1786409318447113,7.143149559851736e-06
GramMMD_sd_vae_L11_g1.0e-04,5,0.17907004058361053,0.17871993780136108,0.17929565906524658,5.973127372271847e-06
GramMMD_sd_vae_L11_g1.0e-04,6,0.17953746020793915,0.1793055683374405,0.17978385090827942,-2.3472384782508016e-06
GramMMD_sd_vae_L11_g1.0e-04,7,0.18013596534729004,0.17979085445404053,0.1805412322282791,-8.135157258948311e-08
GramMMD_sd_vae_L11_g1.0e-04,8,0.1807897984981537,0.1805715262889862,0.18101602792739868,-8.693859854247421e-07
GramMMD_sd_vae_L11_g1.0e-04,9,0.18117418885231018,0.18103840947151184,0.18131032586097717,-1.9725976017070934e-06
GramMMD_sd_vae_L11_g1.0e-04,10,0.18164195120334625,0.1813720166683197,0.1818953901529312,5.30672377863084e-06
GramMMD_sd_vae_L11_g1.0e-04,11,0.1820557862520218,0.18189647793769836,0.1822165697813034,4.557662578008603e-06
GramMMD_sd_vae_L11_g1.0e-04,12,0.18240436911582947,0.18222862482070923,0.1825837790966034,-1.0811454558279365e-06
GramMMD_sd_vae_L11_g1.0e-04,13,0.18281880021095276,0.18260197341442108,0.1829656958580017,5.5914824770297855e-06
GramMMD_sd_vae_L11_g1.0e-04,14,0.18307988345623016,0.18298357725143433,0.1831539273262024,5.975686690362636e-06
GramMMD_sd_vae_L11_g1.0e-04,15,0.18326623737812042,0.18317171931266785,0.18337847292423248,-1.5766308933962137e-06
GramMMD_sd_vae_L11_g1.0e-04,16,0.1835552304983139,0.18339528143405914,0.1836899220943451,4.138288204558194e-06
GramMMD_sd_vae_L11_g1.0e-04,17,0.18380802869796753,0.1836986541748047,0.18397411704063416,6.074981683923397e-06
GramMMD_sd_vae_L11_g1.0e-04,18,0.18405012786388397,0.18397949635982513,0.18416497111320496,1.8681990695768036e-05
GramMMD_sd_vae_L11_g1.0e-04,19,0.18426939845085144,0.18417131900787354,0.18436333537101746,-4.035986421513371e-06
