backbone,layer,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
SD-VAE,0,0.11223408002112416,0.07597099299726172,0.08564379721591785,0.29530864197530865,0.43703703703703706,598,2025,0.3470084239229744,0.3933057599303163,0.4226238750528406,0.46368209538636385,0.5082834596987124
SD-VAE,1,0.28337381081506136,0.19177615108980772,0.22180443164591268,0.4167901234567901,0.5866666666666667,844,2025,0.3616891885686804,0.39186111794577705,0.4266551022176389,0.4822091640366448,0.5609921635227438
SD-VAE,2,0.31011358598506583,0.2103574063545927,0.24501958228575677,0.4074074074074074,0.6202469135802469,825,2025,0.36454683530477827,0.39821084678908925,0.43726303774633524,0.5020164135356008,0.6031003874613915
SD-VAE,3,0.21863154694719908,0.14697396006213623,0.17357621605815288,0.37679012345679014,0.5437037037037037,763,2025,0.35506608768745707,0.3820941271310971,0.4117521009327453,0.4634447488372709,0.5429294366601073
SD-VAE,4,0.306773839479364,0.20857965559920488,0.2551158078677295,0.44049382716049384,0.6355555555555555,892,2025,0.7873752787966787,0.806016163619948,0.8295675590891897,0.8707174421239783,0.9276737337642246
SD-VAE,5,0.3608911000478964,0.24714446818426722,0.3005049243854521,0.44839506172839505,0.668641975308642,908,2025,0.791987841129303,0.8177768141840711,0.8451638354784177,0.8920630568633845,0.9552020312238623
SD-VAE,6,0.2792089437461908,0.1890033456171681,0.23845031136276126,0.4266666666666667,0.6301234567901235,864,2025,0.7814826318364084,0.8045854420720795,0.8254697385835059,0.8627928880408958,0.9145846035451065
SD-VAE,7,0.6320743066100356,0.4462935773909988,0.48136689889986434,0.7229629629629629,0.8612345679012345,1464,2025,0.9868427590087608,0.9922370048511175,0.9965308505517465,1.0028158181979332,1.0084557619212586
SD-VAE,8,0.6581233872947507,0.4668073643280787,0.5046946486639471,0.7066666666666667,0.8572839506172839,1431,2025,0.9882980337555026,0.9941467185962347,0.9984405151119938,1.0046973961665306,1.010032524150095
SD-VAE,9,0.5855340673215222,0.40765933477049854,0.45900101330142307,0.6834567901234568,0.8479012345679012,1384,2025,0.9859721239702202,0.9915761812527975,0.9959035933459247,1.0024090426939505,1.008277117146386
SD-VAE,10,0.597426396230214,0.4170866540810714,0.47017041977571955,0.7032098765432099,0.8523456790123457,1424,2025,0.9860282691908472,0.9914772007494796,0.9958017157625269,1.0021780395507813,1.0079025350087956
SD-VAE,11,0.5875106440639184,0.40890443396644777,0.46563724896764624,0.6987654320987654,0.854320987654321,1415,2025,0.9853042691430928,0.9908067230825071,0.9952837262035887,1.0019480144830397,1.0079451792917133
SD-VAE,12,0.5599541333035545,0.3869785320750649,0.4444569770729748,0.694320987654321,0.8493827160493828,1406,2025,0.9838708745697399,0.9894471270361065,0.9940835846794976,1.0011418812951924,1.0077097301129943
SD-VAE,13,0.576644217430116,0.40036635111691987,0.4557920231819228,0.6977777777777778,0.8553086419753086,1413,2025,0.9844680821748427,0.9900606017348207,0.9947318165684924,1.0017331055358605,1.0081116623643003
SD-VAE,14,0.5945964970955702,0.4140726427134931,0.4673245182064746,0.7061728395061728,0.854320987654321,1430,2025,0.9850172526159404,0.9905073469950829,0.9951016540586213,1.002014346299348,1.0083020454277227
SD-VAE,15,0.6422257253818474,0.4546599831273378,0.49246797730594366,0.7422222222222222,0.8735802469135803,1503,2025,0.986700893331457,0.9921692477332221,0.9966708723998364,1.003136915895674,1.0086522249822263
SD-VAE,16,0.1556472759400769,0.10495010356962456,0.1411066690235182,0.36790123456790125,0.5560493827160494,745,2025,0.0020555087077764817,0.0022979298933052724,0.0026385230782591264,0.003233332045284318,0.004465776372838903
DC-AE,0,0.12078229255406162,0.08182667780623933,0.08403520426585312,0.3091358024691358,0.4730864197530864,626,2025,0.6843390966344762,0.7218933137846582,0.7345084222157796,0.7522513052563609,0.7735846039689618
DC-AE,4,0.25168427836569546,0.17153489262313096,0.2536783842049524,0.4725925925925926,0.657283950617284,957,2025,0.7579936273304033,0.7936433524849974,0.8203922040079846,0.870374762011163,0.9276564200130509
DC-AE,5,0.3256287604635687,0.22234368581431832,0.31055353261600516,0.542716049382716,0.7076543209876544,1099,2025,0.773870375568484,0.8380058067227587,0.8838177161452211,0.9380450885384171,0.9879384390218758
DC-AE,6,0.42377635532455815,0.2878994051220598,0.3724169547349791,0.5965432098765432,0.7427160493827161,1208,2025,0.785447039074368,0.8480651788652679,0.8943598672490061,0.9528295192600769,1.019410271409117
DC-AE,7,0.5376487835753198,0.37182608560623326,0.42695671509196664,0.6355555555555555,0.7703703703703704,1287,2025,0.9850829220995491,0.9963456854702514,1.0034199182781172,1.0113389703668194,1.0177182641735782
