backbone,layer,k,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
SD-VAE,0,1,0.4395792183110076,0.30925799218076294,0.3594407512200401,0.6301234567901235,0.8251851851851851,1276,2025,0.026641480598920658,0.07872565359166064,0.12362587487813595,0.18579850687289287,0.25222426293210065
SD-VAE,0,5,0.14113638806565063,0.09580954773177024,0.1104114726231696,0.2548148148148148,0.4676543209876543,516,2025,0.09268198848065026,0.13551669137855915,0.17179865164513133,0.222882849009426,0.2773695240489117
SD-VAE,0,10,0.11912776414666908,0.08084304309596037,0.09452650352703247,0.24987654320987654,0.44049382716049384,506,2025,0.1320563832742196,0.17616405015746064,0.21031471544764058,0.25882686541486605,0.3106642539428063
SD-VAE,0,25,0.11408987975642536,0.07731845739104574,0.08806915122557611,0.26666666666666666,0.44246913580246916,540,2025,0.20124264706623407,0.2489006944899297,0.2821733619806389,0.3288517252282611,0.3786415894189251
SD-VAE,0,81,0.11223375938599121,0.07597084470625075,0.08564345074911046,0.2948148148148148,0.43703703703703706,597,2025,0.34700851740369787,0.39330585712289046,0.4226239657394162,0.46368219803497246,0.5082835551950986
SD-VAE,1,1,0.6949784232564711,0.5029298787477615,0.5212971227820803,0.7634567901234568,0.88,1546,2025,0.03903691553775175,0.09312495294912362,0.15311301979753705,0.24675093153238664,0.3693120057519847
SD-VAE,1,5,0.4160968307153109,0.285669218549506,0.31877234582233643,0.43703703703703706,0.6735802469135802,885,2025,0.14565225821365538,0.18040525451707243,0.2194012793140646,0.2824134476446074,0.36757870473004406
SD-VAE,1,10,0.3554152774118577,0.2421833023367496,0.2734233353998344,0.4138271604938272,0.64,838,2025,0.1875384047414049,0.2204519175629556,0.25699429349914,0.31647530051513945,0.39815191146036905
SD-VAE,1,25,0.31387856961267785,0.21285125268576785,0.245478164396723,0.42271604938271606,0.6133333333333333,856,2025,0.24658341831395653,0.2792889305726981,0.3153208836331779,0.37418137796668355,0.4553853923035072
SD-VAE,1,81,0.28337417304802226,0.19177646738802134,0.2218045152646622,0.4167901234567901,0.5866666666666667,844,2025,0.36168925773405197,0.39186119318117446,0.4266551831618549,0.48220924495129014,0.5609922411447004
SD-VAE,2,1,0.7411948965088085,0.5480518121163227,0.5562030681473322,0.7713580246913581,0.8785185185185185,1562,2025,0.05756440814630485,0.12837155451653182,0.21086881189363474,0.33907410745572714,0.5132645784475354
SD-VAE,2,5,0.43539171266680754,0.29992631176203843,0.33731773632313733,0.47703703703703704,0.7081481481481482,966,2025,0.20526112971482446,0.24776424683538475,0.29409904334981446,0.372604058631558,0.4890355593477219
