metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1.000000e-06,96,5,-0.26758003255561585,0.26758003255561585,0.00839789490198621,partiel,-0.26758003255561585,0.26758003255561585,0.00839789490198621,partiel
MMD_dc_ae_l10_g1.00e-05,dc_ae,down_blocks.3.0,1.00e-05,1.000000e-05,96,5,-0.24579489962018447,0.24579489962018447,0.01578293955623405,partiel,-0.24579489962018447,0.24579489962018447,0.01578293955623405,partiel
MMD_dc_ae_l10_g2.80e-05,dc_ae,down_blocks.3.0,2.80e-05,2.800000e-05,96,5,-0.2317824199674444,0.2317824199674444,0.02306936690825477,partiel,-0.2317824199674444,0.2317824199674444,0.02306936690825477,partiel
MMD_dc_ae_l10_g1.00e-04,dc_ae,down_blocks.3.0,1.00e-04,1.000000e-04,96,5,-0.11988605534454692,0.11988605534454692,0.24464569504927372,neutre,-0.11988605534454692,0.11988605534454692,0.24464569504927372,neutre
MMD_dc_ae_l10_g1.00e-03,dc_ae,down_blocks.3.0,1.00e-03,1.000000e-03,96,5,0.055662109254872257,-0.055662109254872257,0.5901292095566311,neutre,0.055662109254872257,-0.055662109254872257,0.5901292095566311,neutre
MMD_dc_ae_l10_gmedian,dc_ae,down_blocks.3.0,median,2.289412e-06,96,5,-0.25983450895279436,0.25983450895279436,0.010570975703845971,partiel,-0.25983450895279436,0.25983450895279436,0.010570975703845971,partiel
MMD_dinov2_vitb14_l5_g1.00e-06,dinov2_vitb14,blocks.4,1.00e-06,1.000000e-06,96,5,-0.29797883884970155,0.29797883884970155,0.0031918323580280602,partiel,-0.29797883884970155,0.29797883884970155,0.0031918323580280602,partiel
MMD_dinov2_vitb14_l5_g1.00e-05,dinov2_vitb14,blocks.4,1.00e-05,1.000000e-05,96,5,-0.28556701030927834,0.28556701030927834,0.004797843684992666,partiel,-0.28556701030927834,0.28556701030927834,0.004797843684992666,partiel
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,2.800000e-05,96,5,-0.2508410200759631,0.2508410200759631,0.013698157773805661,partiel,-0.2508410200759631,0.2508410200759631,0.013698157773805661,partiel
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1.000000e-04,96,5,0.3099800623395463,-0.3099800623395463,0.002115871958272273,inverse,0.3099800623395463,-0.3099800623395463,0.002115871958272273,inverse
MMD_dinov2_vitb14_l5_g1.00e-03,dinov2_vitb14,blocks.4,1.00e-03,1.000000e-03,96,5,-0.14108245521519608,0.14108245521519608,0.17034973754160027,neutre,-0.14108245521519608,0.14108245521519608,0.17034973754160027,neutre
MMD_dinov2_vitb14_l5_gmedian,dinov2_vitb14,blocks.4,median,9.271337e-07,96,5,-0.29583559413998917,0.29583559413998917,0.0034289022951921083,partiel,-0.29583559413998917,0.29583559413998917,0.0034289022951921083,partiel
CMMD_CLIP_ViT-L14,CLIP_ViT-L/14,768d,5.00e-03,5.000000e-03,96,5,0.25088171459576775,-0.25088171459576775,0.013682368283922131,inverse,0.25088171459576775,-0.25088171459576775,0.013682368283922131,inverse
