metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1.000000e-06,40,12,-0.6898686679174485,0.6898686679174485,8.467138047726413e-07,bon,-0.6898686679174485,0.6898686679174485,8.467138047726413e-07,bon
MMD_dc_ae_l10_g1.00e-05,dc_ae,down_blocks.3.0,1.00e-05,1.000000e-05,40,12,-0.6309568480300188,0.6309568480300188,1.2732429320239137e-05,bon,-0.6309568480300188,0.6309568480300188,1.2732429320239137e-05,bon
MMD_dc_ae_l10_g2.80e-05,dc_ae,down_blocks.3.0,2.80e-05,2.800000e-05,40,12,-0.525328330206379,0.525328330206379,0.000500178912539597,bon,-0.525328330206379,0.525328330206379,0.000500178912539597,bon
MMD_dc_ae_l10_g1.00e-04,dc_ae,down_blocks.3.0,1.00e-04,1.000000e-04,40,12,-0.2482176360225141,0.2482176360225141,0.1224992909045773,partiel,-0.2482176360225141,0.2482176360225141,0.1224992909045773,partiel
MMD_dc_ae_l10_g1.00e-03,dc_ae,down_blocks.3.0,1.00e-03,1.000000e-03,40,12,-0.1296473650570091,0.1296473650570091,0.42525676893229447,neutre,-0.1296473650570091,0.1296473650570091,0.42525676893229447,neutre
MMD_dc_ae_l10_gmedian,dc_ae,down_blocks.3.0,median,2.289412e-06,40,12,-0.6682926829268294,0.6682926829268294,2.4499576104660316e-06,bon,-0.6682926829268294,0.6682926829268294,2.4499576104660316e-06,bon
MMD_dinov2_vitb14_l5_g1.00e-06,dinov2_vitb14,blocks.4,1.00e-06,1.000000e-06,40,12,-0.6056285178236398,0.6056285178236398,3.4619235416162735e-05,bon,-0.6056285178236398,0.6056285178236398,3.4619235416162735e-05,bon
MMD_dinov2_vitb14_l5_g1.00e-05,dinov2_vitb14,blocks.4,1.00e-05,1.000000e-05,40,12,-0.5893058161350845,0.5893058161350845,6.311449063734556e-05,bon,-0.5893058161350845,0.5893058161350845,6.311449063734556e-05,bon
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,2.800000e-05,40,12,-0.37936210131332093,0.37936210131332093,0.015768475276696236,partiel,-0.37936210131332093,0.37936210131332093,0.015768475276696236,partiel
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1.000000e-04,40,12,0.20446579227998024,-0.20446579227998024,0.20566719637309613,inverse,0.20446579227998024,-0.20446579227998024,0.20566719637309613,inverse
MMD_dinov2_vitb14_l5_g1.00e-03,dinov2_vitb14,blocks.4,1.00e-03,1.000000e-03,40,12,0.12111682463527064,-0.12111682463527064,0.4565939622555882,neutre,0.12111682463527064,-0.12111682463527064,0.4565939622555882,neutre
MMD_dinov2_vitb14_l5_gmedian,dinov2_vitb14,blocks.4,median,9.271337e-07,40,12,-0.6056285178236398,0.6056285178236398,3.4619235416162735e-05,bon,-0.6056285178236398,0.6056285178236398,3.4619235416162735e-05,bon
CMMD_CLIP_ViT-L14,CLIP_ViT-L/14,768d,5.00e-03,5.000000e-03,40,12,0.40750469043151977,-0.40750469043151977,0.009055999727928792,inverse,0.40750469043151977,-0.40750469043151977,0.009055999727928792,inverse
