metric_label,backbone,layer_name,gamma_str,group_idx,mos_r_mean,mos_r_min,mos_r_max,mmd_score
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1,17.931717432253787,10.383351573636363,23.073138160909092,0.05540454387664795
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,2,27.288257123390153,23.859046570909094,31.75240744409091,0.05964398384094238
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,3,37.18850331210227,31.962474827272725,41.74143011090909,0.06024909019470215
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,4,45.25481930958333,42.27668356454546,47.45620903181818,0.045853257179260254
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,5,50.064068096041666,47.57944400681818,51.78909724363636,0.049573421478271484
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,6,53.60136379267046,51.85205774272727,55.80372709545455,0.045784711837768555
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,7,56.96185378535984,55.82518654818182,58.14704098045454,0.05104386806488037
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,8,59.83850685789773,58.40466673181818,61.41676890772727,0.04935038089752197
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,9,62.544627822405296,61.450913154545454,63.601648069090906,0.047452569007873535
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,10,64.35881534376894,63.632569839545454,65.15700578272727,0.0555267333984375
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,11,66.57450417878788,65.26560826818182,67.84529925,0.03982853889465332
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,12,68.60794920304924,67.89158320909091,69.23367816363636,0.048272132873535156
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,13,70.27702868984848,69.2644266,70.94146290454545,0.0468447208404541
