metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1.000000e-06,20,24,-0.8150375939849623,0.8150375939849623,1.2033925213644691e-05,bon,-0.8150375939849623,0.8150375939849623,1.2033925213644691e-05,bon
MMD_dc_ae_l10_g1.00e-05,dc_ae,down_blocks.3.0,1.00e-05,1.000000e-05,20,24,-0.7428571428571428,0.7428571428571428,0.00017540444660487067,bon,-0.7428571428571428,0.7428571428571428,0.00017540444660487067,bon
MMD_dc_ae_l10_g2.80e-05,dc_ae,down_blocks.3.0,2.80e-05,2.800000e-05,20,24,-0.7669172932330827,0.7669172932330827,7.978155088069937e-05,bon,-0.7669172932330827,0.7669172932330827,7.978155088069937e-05,bon
MMD_dc_ae_l10_g1.00e-04,dc_ae,down_blocks.3.0,1.00e-04,1.000000e-04,20,24,-0.33533834586466166,0.33533834586466166,0.1483572986184929,partiel,-0.33533834586466166,0.33533834586466166,0.1483572986184929,partiel
MMD_dc_ae_l10_g1.00e-03,dc_ae,down_blocks.3.0,1.00e-03,1.000000e-03,20,24,-0.33022159220806163,0.33022159220806163,0.15503717840475456,partiel,-0.33022159220806163,0.33022159220806163,0.15503717840475456,partiel
MMD_dc_ae_l10_gmedian,dc_ae,down_blocks.3.0,median,2.289412e-06,20,24,-0.7969924812030074,0.7969924812030074,2.5917474294045437e-05,bon,-0.7969924812030074,0.7969924812030074,2.5917474294045437e-05,bon
MMD_dinov2_vitb14_l5_g1.00e-06,dinov2_vitb14,blocks.4,1.00e-06,1.000000e-06,20,24,-0.7353383458646616,0.7353383458646616,0.00022055698212103088,bon,-0.7353383458646616,0.7353383458646616,0.00022055698212103088,bon
MMD_dinov2_vitb14_l5_g1.00e-05,dinov2_vitb14,blocks.4,1.00e-05,1.000000e-05,20,24,-0.8180451127819548,0.8180451127819548,1.0505529225549338e-05,bon,-0.8180451127819548,0.8180451127819548,1.0505529225549338e-05,bon
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,2.800000e-05,20,24,-0.4917293233082706,0.4917293233082706,0.027658227513046155,partiel,-0.4917293233082706,0.4917293233082706,0.027658227513046155,partiel
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1.000000e-04,20,24,0.09190223453299573,-0.09190223453299573,0.699976268323102,neutre,0.09190223453299573,-0.09190223453299573,0.699976268323102,neutre
MMD_dinov2_vitb14_l5_g1.00e-03,dinov2_vitb14,blocks.4,1.00e-03,1.000000e-03,20,24,0.4289031978608522,-0.4289031978608522,0.05916165756062839,inverse,0.4289031978608522,-0.4289031978608522,0.05916165756062839,inverse
MMD_dinov2_vitb14_l5_gmedian,dinov2_vitb14,blocks.4,median,9.271337e-07,20,24,-0.724812030075188,0.724812030075188,0.00030023054617739413,bon,-0.724812030075188,0.724812030075188,0.00030023054617739413,bon
CMMD_CLIP_ViT-L14,CLIP_ViT-L/14,768d,5.00e-03,5.000000e-03,20,24,0.5518796992481202,-0.5518796992481202,0.011642373367085755,inverse,0.5518796992481202,-0.5518796992481202,0.011642373367085755,inverse
