metric_label,backbone,layer_name,gamma_str,group_idx,mos_r_mean,mos_r_min,mos_r_max,mmd_score
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1,10.810482123636362,10.383351573636363,11.237612673636363,0.07107770442962646
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,2,13.363017030454547,12.873956289545454,13.852077771363637,0.09706676006317139
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,3,15.27335880590909,14.772021149545454,15.774696462272727,0.09766280651092529
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,4,16.414950566818185,16.11136225,16.718538883636366,0.015961050987243652
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,5,16.905719235454548,16.83383592,16.977602550909094,0.06488800048828125
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,6,17.31410864272727,17.128398308636363,17.49981897681818,0.10442495346069336
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,7,18.12177835068182,18.01987185318182,18.22368484818182,0.03992903232574463
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,8,18.68467708613636,18.40435578590909,18.964998386363636,0.06342184543609619
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,9,20.494847745454546,19.531784013636365,21.457911477272727,0.04433917999267578
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,10,22.186448304318183,22.164942098181818,22.207954510454545,0.01198875904083252
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,11,22.556182346136364,22.336504287727273,22.775860404545455,0.040209054946899414
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,12,23.05503894931818,23.03693973772727,23.073138160909092,0.03875088691711426
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,13,23.983741463181822,23.859046570909094,24.108436355454547,0.056427836418151855
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,14,24.42152434318182,24.136628927727273,24.706419758636365,0.034990549087524414
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,15,25.216616497954547,25.160939161363636,25.272293834545454,0.045908212661743164
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,16,25.91158886977273,25.739496508636364,26.08368123090909,0.10493934154510498
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,17,26.280579614772726,26.26193154681818,26.29922768272727,0.03590714931488037
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,18,26.72500679659091,26.647243233181822,26.80277036,0.02108454704284668
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,19,27.71722202681818,27.710613355454544,27.723830698181818,0.13235092163085938
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,20,27.975271444090907,27.94224735681818,28.008295531363636,0.010518789291381836
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,21,28.51916109681818,28.427649107272728,28.610673086363636,0.11268281936645508
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,22,28.868573707954546,28.864666542727274,28.872480873181818,0.05992746353149414
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,23,30.406674175227273,29.867093540909092,30.946254809545454,0.019686341285705566
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,24,31.433125444318183,31.113843444545456,31.75240744409091,0.08149027824401855
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,25,32.032868589772725,31.962474827272725,32.10326235227273,0.06440067291259766
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,26,32.93285143340909,32.57260997909091,33.29309288772727,0.05479240417480469
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,27,33.789990362272725,33.63066458409091,33.94931614045454,0.04813265800476074
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,28,34.63530097772727,34.254768114545456,35.01583384090909,0.018235206604003906
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,29,36.06108401,35.61844186090909,36.50372615909091,0.06704318523406982
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,30,36.965541977954544,36.74721518909091,37.183868766818186,0.05174422264099121
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,31,37.74808161840909,37.586910895,37.90925234181818,0.08477115631103516
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,32,39.16038785159091,39.159607152727276,39.16116855045455,0.02335679531097412
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,33,39.614707512045456,39.50363207727273,39.72578294681818,0.06013524532318115
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,34,40.30910911386364,40.10658689318182,40.511631334545456,0.08217442035675049
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,35,41.33801180045454,41.22542756590909,41.450596035,0.07784855365753174
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,36,41.67410449772727,41.606778884545456,41.74143011090909,0.040506839752197266
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,37,42.3132160775,42.27668356454546,42.349748590454546,0.0346299409866333
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,38,42.96702508590909,42.93479045136364,42.999259720454546,0.012731313705444336
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,39,43.49911773840908,43.14833512181818,43.849900354999995,0.04435145854949951
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,40,44.46355809863637,44.24228326,44.68483293727273,0.045448899269104004
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,41,45.02958462840909,45.014271393181815,45.044897863636365,0.0054454803466796875
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,42,45.29330946295454,45.242849799999995,45.34376912590909,0.0055005550384521484
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,43,45.6633877325,45.44974382363636,45.87703164136364,0.003253936767578125
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,44,46.19913604068182,46.05975058136364,46.3385215,0.09732377529144287
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,45,46.506415069545454,46.461104443636366,46.55172569545454,0.023562312126159668
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,46,46.7814371125,46.63784059272727,46.92503363227272,0.06096827983856201
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,47,47.02157502772727,46.98420985,47.05894020545455,0.02773571014404297
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,48,47.320069640227274,47.18393024863636,47.45620903181818,0.03356051445007324
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,49,47.63274792386363,47.57944400681818,47.68605184090909,0.06751668453216553
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,50,47.92564833181818,47.85413733318182,47.997159330454544,0.01191854476928711
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,51,48.86026302159091,48.745656067727275,48.974869975454546,0.022345304489135742
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,52,49.38568588545454,49.269933079999994,49.50143869090909,0.052544474601745605
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,53,50.13577139295455,50.02686477227273,50.24467801363637,0.09992599487304688
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,54,50.27686834954545,50.26601576545454,50.287720933636365,0.034209251403808594
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,55,50.41855757477272,50.397065763181814,50.44004938636363,0.0749354362487793
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,56,50.63730162727273,50.53053583909091,50.744067415454545,0.03405869007110596
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,57,50.914955580454546,50.877768575909094,50.952142585000004,0.05559957027435303
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,58,51.36304193090909,51.255980857727266,51.47010300409091,0.06751537322998047
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,59,51.4886901025,51.48649149727273,51.49088870772727,0.026924848556518555
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,60,51.729285431363635,51.669473619090915,51.78909724363636,0.011832952499389648
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,61,51.86503114863636,51.85205774272727,51.87800455454545,0.021369338035583496
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,62,51.962966427272725,51.92553946363636,52.00039339090909,0.05353498458862305
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,63,52.2140292,52.126720309090906,52.30133809090909,0.057935237884521484
