metric_label,backbone,layer_name,gamma_str,group_idx,mos_r_mean,mos_r_min,mos_r_max,mmd_score
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1,10.383351573636363,10.383351573636363,10.383351573636363,0.27386248111724854
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,2,11.237612673636363,11.237612673636363,11.237612673636363,0.41585981845855713
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,3,12.873956289545454,12.873956289545454,12.873956289545454,0.7953869700431824
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,4,13.852077771363637,13.852077771363637,13.852077771363637,0.24231934547424316
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,5,14.772021149545454,14.772021149545454,14.772021149545454,0.2593425512313843
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,6,15.774696462272727,15.774696462272727,15.774696462272727,0.7590903043746948
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,7,16.11136225,16.11136225,16.11136225,0.3899279832839966
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,8,16.718538883636366,16.718538883636366,16.718538883636366,0.25924742221832275
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,9,16.83383592,16.83383592,16.83383592,0.21092474460601807
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,10,16.977602550909094,16.977602550909094,16.977602550909094,0.20596587657928467
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,11,17.128398308636363,17.128398308636363,17.128398308636363,0.37200403213500977
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,12,17.49981897681818,17.49981897681818,17.49981897681818,0.3166848421096802
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,13,18.01987185318182,18.01987185318182,18.01987185318182,0.2786816358566284
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,14,18.22368484818182,18.22368484818182,18.22368484818182,0.48528552055358887
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,15,18.40435578590909,18.40435578590909,18.40435578590909,0.28376078605651855
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,16,18.964998386363636,18.964998386363636,18.964998386363636,0.25801002979278564
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,17,19.531784013636365,19.531784013636365,19.531784013636365,0.1747664213180542
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,18,21.457911477272727,21.457911477272727,21.457911477272727,0.3406991958618164
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,19,22.164942098181818,22.164942098181818,22.164942098181818,0.22411644458770752
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,20,22.207954510454545,22.207954510454545,22.207954510454545,0.5058037042617798
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,21,22.336504287727273,22.336504287727273,22.336504287727273,0.2165355682373047
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,22,22.775860404545455,22.775860404545455,22.775860404545455,0.2568122148513794
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,23,23.03693973772727,23.03693973772727,23.03693973772727,0.2262101173400879
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,24,23.073138160909092,23.073138160909092,23.073138160909092,0.2630869150161743
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,25,23.859046570909094,23.859046570909094,23.859046570909094,0.5755019187927246
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,26,24.108436355454547,24.108436355454547,24.108436355454547,0.22752583026885986
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,27,24.136628927727273,24.136628927727273,24.136628927727273,0.2305203676223755
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,28,24.706419758636365,24.706419758636365,24.706419758636365,0.3361999988555908
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,29,25.160939161363636,25.160939161363636,25.160939161363636,0.29026055335998535
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,30,25.272293834545454,25.272293834545454,25.272293834545454,0.15560626983642578
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,31,25.739496508636364,25.739496508636364,25.739496508636364,0.319000244140625
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,32,26.08368123090909,26.08368123090909,26.08368123090909,0.2964165210723877
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,33,26.26193154681818,26.26193154681818,26.26193154681818,0.2196347713470459
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,34,26.29922768272727,26.29922768272727,26.29922768272727,0.2565501928329468
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,35,26.647243233181822,26.647243233181822,26.647243233181822,0.844176173210144
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,36,26.80277036,26.80277036,26.80277036,0.22260451316833496
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,37,27.710613355454544,27.710613355454544,27.710613355454544,0.4552682638168335
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,38,27.723830698181818,27.723830698181818,27.723830698181818,0.30091917514801025
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,39,27.94224735681818,27.94224735681818,27.94224735681818,0.22875583171844482
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,40,28.008295531363636,28.008295531363636,28.008295531363636,0.22034108638763428
