metric_label,backbone,layer_name,gamma_str,group_idx,mos_r_mean,mos_r_min,mos_r_max,mmd_score
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,1,15.013606067500001,10.383351573636363,17.49981897681818,0.04924631118774414
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,2,20.849828797007575,18.01987185318182,23.073138160909092,0.030292272567749023
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,3,25.423176264242425,23.859046570909094,26.80277036,0.06001639366149902
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,4,29.153337982537877,27.710613355454544,31.75240744409091,0.06098508834838867
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,5,34.402939558522725,31.962474827272725,37.183868766818186,0.06521153450012207
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,6,39.97406706568182,37.586910895,41.74143011090909,0.059328556060791016
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,7,43.9276351819697,42.27668356454546,45.34376912590909,0.035404205322265625
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,8,46.58200343719697,45.44974382363636,47.45620903181818,0.0199582576751709
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,9,49.03616415087121,47.57944400681818,50.287720933636365,0.053406476974487305
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,10,51.09197204121211,50.397065763181814,51.78909724363636,0.05204296112060547
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,11,52.51080069060606,51.85205774272727,53.15595768772727,0.05123698711395264
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,12,54.69192689473484,53.19575964181818,55.80372709545455,0.015114426612854004
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,13,56.51391104996211,55.82518654818182,56.88495511818182,0.045658230781555176
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,14,57.409796520757574,56.89427865,58.14704098045454,0.0318293571472168
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,15,59.09236188147728,58.40466673181818,59.61907620909091,0.037358641624450684
