metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMD_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,5.556049e-11,40,12,-0.5285178236397748,0.5285178236397748,0.0004554809208384908,bon,-0.5285178236397748,0.5285178236397748,0.0004554809208384908,bon
MMD_nostd_sd_vae_l9_1.00e-07,sd_vae,sd_vae_l9,1.00e-07,1.000000e-07,40,12,-0.39775825982407736,0.39775825982407736,0.011031053249626053,partiel,-0.39775825982407736,0.39775825982407736,0.011031053249626053,partiel
MMD_nostd_sd_vae_l9_1.00e-06,sd_vae,sd_vae_l9,1.00e-06,1.000000e-06,40,12,0.09553653009207992,-0.09553653009207992,0.5576000256527714,neutre,0.09553653009207992,-0.09553653009207992,0.5576000256527714,neutre
MMD_nostd_sd_vae_l9_1.00e-05,sd_vae,sd_vae_l9,1.00e-05,1.000000e-05,40,12,-0.13178769994124162,0.13178769994124162,0.41758798825253984,neutre,-0.13178769994124162,0.13178769994124162,0.41758798825253984,neutre
MMD_nostd_sd_vae_l9_1.00e-04,sd_vae,sd_vae_l9,1.00e-04,1.000000e-04,40,12,0.2766728333869633,-0.2766728333869633,0.08394119820495541,inverse,0.2766728333869633,-0.2766728333869633,0.08394119820495541,inverse
MMD_nostd_dc_ae_l10_median,dc_ae,dc_ae_l10,median,5.566346e-06,40,12,-0.624577861163227,0.624577861163227,1.6516611846678092e-05,bon,-0.624577861163227,0.624577861163227,1.6516611846678092e-05,bon
MMD_nostd_dc_ae_l10_1.00e-07,dc_ae,dc_ae_l10,1.00e-07,1.000000e-07,40,12,-0.4196998123827393,0.4196998123827393,0.007017947980111469,partiel,-0.4196998123827393,0.4196998123827393,0.007017947980111469,partiel
MMD_nostd_dc_ae_l10_1.00e-06,dc_ae,dc_ae_l10,1.00e-06,1.000000e-06,40,12,-0.4990619136960601,0.4990619136960601,0.0010452671838261187,partiel,-0.4990619136960601,0.4990619136960601,0.0010452671838261187,partiel
MMD_nostd_dc_ae_l10_1.00e-05,dc_ae,dc_ae_l10,1.00e-05,1.000000e-05,40,12,-0.6666041275797374,0.6666041275797374,2.6527185714121367e-06,bon,-0.6666041275797374,0.6666041275797374,2.6527185714121367e-06,bon
MMD_nostd_dc_ae_l10_1.00e-04,dc_ae,dc_ae_l10,1.00e-04,1.000000e-04,40,12,-0.4444652908067543,0.4444652908067543,0.004061895734135973,partiel,-0.4444652908067543,0.4444652908067543,0.004061895734135973,partiel
MMD_nostd_dinov2_vitb14_l5_median,dinov2_vitb14,dinov2_l5,median,2.794376e+00,40,12,-0.42589118198874304,0.42589118198874304,0.006144059993068547,partiel,-0.42589118198874304,0.42589118198874304,0.006144059993068547,partiel
MMD_nostd_dinov2_vitb14_l5_1.00e-07,dinov2_vitb14,dinov2_l5,1.00e-07,1.000000e-07,40,12,nan,nan,nan,inverse,nan,nan,nan,inverse
MMD_nostd_dinov2_vitb14_l5_1.00e-06,dinov2_vitb14,dinov2_l5,1.00e-06,1.000000e-06,40,12,-0.3255501898400266,0.3255501898400266,0.04037547270030153,partiel,-0.3255501898400266,0.3255501898400266,0.04037547270030153,partiel
MMD_nostd_dinov2_vitb14_l5_1.00e-05,dinov2_vitb14,dinov2_l5,1.00e-05,1.000000e-05,40,12,-0.2950653240034547,0.2950653240034547,0.06454825112063717,partiel,-0.2950653240034547,0.2950653240034547,0.06454825112063717,partiel
MMD_nostd_dinov2_vitb14_l5_1.00e-04,dinov2_vitb14,dinov2_l5,1.00e-04,1.000000e-04,40,12,-0.3681671186650308,0.3681671186650308,0.019417073175475277,partiel,-0.3681671186650308,0.3681671186650308,0.019417073175475277,partiel
CMMD_CLIP_ViT-L14_sigma10,CLIP_ViT-L14,768d,5.00e-03,5.000000e-03,40,12,0.40750469043151977,-0.40750469043151977,0.009055999727928792,inverse,0.40750469043151977,-0.40750469043151977,0.009055999727928792,inverse
