metric_label,n,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict
kNN_dc_ae_l10_k1,480,0.06868855767603158,-0.06868855767603158,0.13290546069018758,neutre
kNN_dc_ae_l10_k5,480,0.05742950273221671,-0.05742950273221671,0.20912554235419853,neutre
kNN_dc_ae_l10_k10,480,0.05803833784000798,-0.05803833784000798,0.20433013085102514,neutre
kNN_dc_ae_l10_k25,480,0.06405214432354306,-0.06405214432354306,0.16118645653994734,neutre
kNN_dc_ae_l10_k50,480,0.06156103108086406,-0.06156103108086406,0.1781427936088714,neutre
kNN_dc_ae_l10_k100,480,0.06156103108086406,-0.06156103108086406,0.1781427936088714,neutre
kNN_dc_ae_l10_k200,480,0.06156103108086406,-0.06156103108086406,0.1781427936088714,neutre
kNN_dc_ae_l10_k500,480,0.06156103108086406,-0.06156103108086406,0.1781427936088714,neutre
MMDpt_dc_ae_l10_g2.80e-05,480,0.0624799360919528,-0.0624799360919528,0.17174028049044815,neutre
kNN_dinov2_vitb14_l5_k1,480,0.125321615979236,-0.125321615979236,0.005971412661979649,neutre
kNN_dinov2_vitb14_l5_k5,480,0.13649364797590266,-0.13649364797590266,0.0027295003848657497,neutre
kNN_dinov2_vitb14_l5_k10,480,0.14270862720758337,-0.14270862720758337,0.0017215008824174166,neutre
kNN_dinov2_vitb14_l5_k25,480,0.13583511647185967,-0.13583511647185967,0.0028630478685607035,neutre
kNN_dinov2_vitb14_l5_k50,480,0.13520219271785033,-0.13520219271785033,0.0029969791362711388,neutre
kNN_dinov2_vitb14_l5_k100,480,0.13520219271785033,-0.13520219271785033,0.0029969791362711388,neutre
kNN_dinov2_vitb14_l5_k200,480,0.13520219271785033,-0.13520219271785033,0.0029969791362711388,neutre
kNN_dinov2_vitb14_l5_k500,480,0.13520219271785033,-0.13520219271785033,0.0029969791362711388,neutre
MMDpt_dinov2_vitb14_l5_g2.80e-05,480,0.1391900402833026,-0.1391900402833026,0.0022398159444430325,neutre
