label,gamma_tag,gamma_val,n_groups,spearman_rho,neg_rho,p_spearman,pearson_r,p_pearson
SD_VAE_L11_median,median,2.1510e-06,24,-0.7304347826086957,0.7304347826086957,5.06460462583121e-05,-0.5344181690998192,0.007139832413328651
SD_VAE_L11_mean,mean,1.9017e-06,24,-0.7234782608695651,0.7234782608695651,6.465655516291951e-05,-0.5266848911225479,0.008189671276902332
SD_VAE_L11_10x_median,10x_median,2.1510e-05,24,-0.7947826086956521,0.7947826086956521,3.4995462491748798e-06,-0.6791157493010012,0.0002632639297243878
SD_VAE_L11_50x_median,50x_median,1.0755e-04,24,0.021739130434782605,-0.021739130434782605,0.9196887674366273,-0.08496832997259293,0.6930259973608063
SD_VAE_L11_100x_median,100x_median,2.1510e-04,24,0.10869565217391304,-0.10869565217391304,0.6131561977406333,0.20218182062806897,0.3434129320771729
