backbone,layer,layer_name,gamma,spearman_rho,strict_mono_rate,kendall_tau_mean,n_groups
sd_vae,11,encoder.down_blocks.3.resnets.1,0.0001,0.8306760889553653,0.4876237623762376,0.638259381493705,405
dc_ae,9,encoder.down_blocks.2.2,5e-06,-0.6942451059555874,0.5024752475247525,-0.517247280283584,405
dinov2_vitb14,11,blocks.10,2.8e-05,0.7908161587915772,0.49504950495049505,0.5976530986431978,405
cmmd,0,CLIP ViT-L/14@336,0.005,0.23061846414526513,0.4430693069306931,0.13912724605793916,405
