metric,label,spearman_vs_degradation,spearman_p,kendall_vs_degradation,kendall_p,spearman_vs_level,mono_strict_n,mono_strict_total,mono_strict_rate,mono_partial_n,mono_partial_total,mono_partial_rate,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
MMD_sd_vae_l7,SD-VAE l7 gamma=2.80e-05,0.6320743066100356,0.0,0.4462935773909988,0.0,0.48136689889986434,1464,2025,0.7229629629629629,1744,2025,0.8612345679012345,0.9868427590087608,0.9922370048511175,0.9965308505517465,1.0028158181979332,1.0084557619212586
MMD_dc_ae_l10,DC-AE l10 gamma=2.80e-05,0.6092034391749382,0.0,0.4348569857639272,0.0,0.4791673707375876,1374,2025,0.6785185185185185,1678,2025,0.8286419753086419,0.9963591156182465,1.002286316730358,1.0060286589905068,1.009693301871971,1.0120697948667738
MMD_dinov2_vitb14_l5,DinoV2 l5 gamma=2.80e-05,0.6708806727568344,0.0,0.4894018904446655,0.0,0.5358527957838866,1452,2025,0.717037037037037,1713,2025,0.845925925925926,1.0000425907711923,1.0041291364917049,1.0066562896010316,1.0088711179627312,1.010428059660358
CMMD,CMMD CLIP ViT-L/14 gamma=5.000e-03,0.4222247591279158,0.0,0.2900535156541249,0.0,0.30233620598379723,697,2025,0.3441975308641975,1383,2025,0.682962962962963,0.7675658780262794,0.7799804697507693,0.7891017488491388,0.8032388673299624,0.8234425773738343
