label,gamma_tag,gamma_val,group_idx,mos_mean,mos_min,mos_max,mmd_score
DINOv2_vitb14_L5_median,median,9.2709e-07,1,16.95693878915909,10.383351573636363,22.207954510454545,0.044336557388305664
DINOv2_vitb14_L5_median,median,9.2709e-07,2,25.384277235181816,22.336504287727273,28.008295531363636,0.041864633560180664
DINOv2_vitb14_L5_median,median,9.2709e-07,3,32.564517177545454,28.427649107272728,37.183868766818186,0.06628084182739258
DINOv2_vitb14_L5_median,median,9.2709e-07,4,41.308731939454546,37.586910895,44.68483293727273,0.04720449447631836
DINOv2_vitb14_L5_median,median,9.2709e-07,5,46.53733109702273,45.014271393181815,47.997159330454544,0.036118507385253906
DINOv2_vitb14_L5_median,median,9.2709e-07,6,50.52104208968181,48.745656067727275,51.78909724363636,0.03721129894256592
DINOv2_vitb14_L5_median,median,9.2709e-07,7,53.22065402256818,51.85205774272727,54.72388539863636,0.0375591516494751
DINOv2_vitb14_L5_median,median,9.2709e-07,8,56.40858111559091,55.23867115454546,57.06027285454545,0.04749250411987305
DINOv2_vitb14_L5_median,median,9.2709e-07,9,58.50204308436364,57.08577673045454,59.61907620909091,0.03629136085510254
DINOv2_vitb14_L5_median,median,9.2709e-07,10,61.05352392104545,59.64024705,62.140166177272725,0.0323864221572876
DINOv2_vitb14_L5_median,median,9.2709e-07,11,63.095493819545446,62.30800517363637,63.89873966363636,0.05955493450164795
DINOv2_vitb14_L5_median,median,9.2709e-07,12,64.4859051594091,63.92419218818182,65.15700578272727,0.049335479736328125
DINOv2_vitb14_L5_median,median,9.2709e-07,13,66.35020378895454,65.26560826818182,67.33497136227273,0.028918147087097168
DINOv2_vitb14_L5_median,median,9.2709e-07,14,68.21910480834092,67.50431248636363,69.04567613727274,0.03783309459686279
DINOv2_vitb14_L5_median,median,9.2709e-07,15,69.57423877711364,69.05974111818182,70.20511073181818,0.04867732524871826
DINOv2_vitb14_L5_median,median,9.2709e-07,16,70.88703553449999,70.32331571818182,71.36296618181818,0.0334019660949707
DINOv2_vitb14_L5_median,median,9.2709e-07,17,72.44388955404546,71.46931471818182,73.33471177272727,0.034388184547424316
DINOv2_vitb14_L5_median,median,9.2709e-07,18,73.78349232913637,73.33981687045456,74.38583995454546,0.032623887062072754
DINOv2_vitb14_L5_median,median,9.2709e-07,19,75.11938361220454,74.46433656818182,75.54217925454545,0.0295562744140625
DINOv2_vitb14_L5_median,median,9.2709e-07,20,76.11229095795454,75.65154605454546,76.5471795409091,0.033699631690979004
DINOv2_vitb14_L5_median,median,9.2709e-07,21,77.16488309381819,76.59774437272728,77.9733424409091,0.028037667274475098
DINOv2_vitb14_L5_median,median,9.2709e-07,22,78.78088833706818,78.0566007590909,79.62850745318183,0.03004741668701172
DINOv2_vitb14_L5_median,median,9.2709e-07,23,80.66911940068182,79.6499864090909,81.66778405000001,0.027849316596984863
DINOv2_vitb14_L5_median,median,9.2709e-07,24,84.28556101838639,82.0783984909091,87.81027129545454,0.02733159065246582
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,1,16.95693878915909,10.383351573636363,22.207954510454545,0.006239543668925762
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,2,25.384277235181816,22.336504287727273,28.008295531363636,0.007785521447658539
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,3,32.564517177545454,28.427649107272728,37.183868766818186,0.01214929111301899
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,4,41.308731939454546,37.586910895,44.68483293727273,0.008376214653253555
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,5,46.53733109702273,45.014271393181815,47.997159330454544,0.006653290241956711
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,6,50.52104208968181,48.745656067727275,51.78909724363636,0.006480704993009567
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,7,53.22065402256818,51.85205774272727,54.72388539863636,0.005663536489009857
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,8,56.40858111559091,55.23867115454546,57.06027285454545,0.007129690609872341
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,9,58.50204308436364,57.08577673045454,59.61907620909091,0.005314824171364307
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,10,61.05352392104545,59.64024705,62.140166177272725,0.004550126381218433
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,11,63.095493819545446,62.30800517363637,63.89873966363636,0.007305154576897621
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,12,64.4859051594091,63.92419218818182,65.15700578272727,0.005147143267095089
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,13,66.35020378895454,65.26560826818182,67.33497136227273,0.0043225400149822235
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,14,68.21910480834092,67.50431248636363,69.04567613727274,0.005842315964400768
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,15,69.57423877711364,69.05974111818182,70.20511073181818,0.006734182126820087
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,16,70.88703553449999,70.32331571818182,71.36296618181818,0.004744944162666798
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,17,72.44388955404546,71.46931471818182,73.33471177272727,0.005800898186862469
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,18,73.78349232913637,73.33981687045456,74.38583995454546,0.004813092760741711
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,19,75.11938361220454,74.46433656818182,75.54217925454545,0.004427964799106121
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,20,76.11229095795454,75.65154605454546,76.5471795409091,0.0048387786373496056
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,21,77.16488309381819,76.59774437272728,77.9733424409091,0.0042110104113817215
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,22,78.78088833706818,78.0566007590909,79.62850745318183,0.005045134574174881
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,23,80.66911940068182,79.6499864090909,81.66778405000001,0.0049539655447006226
DINOv2_vitb14_L5_10x_median,10x_median,9.2709e-06,24,84.28556101838639,82.0783984909091,87.81027129545454,0.0041994089260697365
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,1,16.95693878915909,10.383351573636363,22.207954510454545,3.145047244856869e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,2,25.384277235181816,22.336504287727273,28.008295531363636,4.990335256138678e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,3,32.564517177545454,28.427649107272728,37.183868766818186,1.350121578980179e-07
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,4,41.308731939454546,37.586910895,44.68483293727273,3.4609605847890634e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,5,46.53733109702273,45.014271393181815,47.997159330454544,5.1586045657359136e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,6,50.52104208968181,48.745656067727275,51.78909724363636,4.533350050905938e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,7,53.22065402256818,51.85205774272727,54.72388539863636,3.5033650647164905e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,8,56.40858111559091,55.23867115454546,57.06027285454545,4.0438898452066496e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,9,58.50204308436364,57.08577673045454,59.61907620909091,3.420586836000439e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,10,61.05352392104545,59.64024705,62.140166177272725,3.585838115327533e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,11,63.095493819545446,62.30800517363637,63.89873966363636,3.9978719001965146e-08
DINOv2_vitb14_L5_50x_median,50x_median,4.6355e-05,12,64.4859051594091,63.92419218818182,65.15700578272727,2.6077659143197707e-08
